timestamp,sensor_id,pressure_bar,temperature_c,flow_m3h,status
2026-09-10 00:00:00,PS-101,45.2,35.1,12.4,normal
2026-09-10 01:00:00,PS-101,45.8,35.3,12.6,normal
2026-09-10 02:00:00,PS-101,44.9,34.8,12.2,normal
2026-09-10 03:00:00,PS-101,45.1,35.0,12.3,normal
2026-09-10 04:00:00,PS-101,46.3,35.7,12.9,normal
2026-09-10 05:00:00,PS-101,47.1,36.2,13.1,normal
2026-09-10 06:00:00,PS-101,48.0,36.8,13.5,normal
2026-09-10 07:00:00,PS-101,49.2,37.5,14.0,warning
2026-09-10 08:00:00,PS-101,50.1,38.1,14.3,warning
2026-09-10 09:00:00,PS-101,48.5,37.2,13.8,normal
2026-09-10 10:00:00,PS-101,47.3,36.5,13.2,normal
2026-09-10 11:00:00,PS-101,46.8,36.1,12.8,normal
2026-09-10 12:00:00,PS-101,46.2,35.9,12.7,normal
2026-09-10 13:00:00,PS-101,45.9,35.5,12.5,normal
2026-09-10 14:00:00,PS-101,45.5,35.2,12.4,normal
2026-09-10 15:00:00,PS-101,46.0,35.6,12.6,normal
2026-09-10 16:00:00,PS-101,46.7,36.0,12.9,normal
2026-09-10 17:00:00,PS-101,47.5,36.6,13.3,normal
2026-09-10 18:00:00,PS-101,48.8,37.3,13.9,normal
2026-09-10 19:00:00,PS-101,49.5,37.8,14.1,warning
2026-09-10 20:00:00,PS-101,48.2,37.0,13.7,normal
2026-09-10 21:00:00,PS-101,46.9,36.2,13.0,normal
2026-09-10 22:00:00,PS-101,45.7,35.4,12.5,normal
2026-09-10 23:00:00,PS-101,45.3,35.1,12.3,normal
